# NAAIM Exposure Index: weekly survey of active managers' US equity exposure (-200% to +200%), by survey date.
# Source: National Association of Active Investment Managers (naaim.org): USE_Data-since-Inception_2026-07-29.xlsx,
# the last free full-history file before subscription access began on 2026-08-01. The index is the survey mean
# (the file's Mean/Average column, which NAAIM's own table shows as the NAAIM Number). Personal use.
week,naaim,bearish,quartile1,median,quartile3,bullish,deviation
2009-04-15,41.61,-100,10.75,45,55.5,200,48.42
2009-04-22,22.67,-200,0,29,50,120,65.51
2009-04-29,35.76,-200,0,47,75,200,67.77
2009-05-06,33.19,-200,5,40,57.5,200,67.14
2009-05-13,56.82,-25,20,50,75,200,50.71
2009-05-20,50.41,-50,15,50,80,200,45.67
2009-05-27,40.34,-200,18,50,75,150,56.58
2009-06-03,51.46,-200,30,53,85,200,65.16
2009-06-10,64.81,0,33.75,65,88.75,200,44.47
2009-06-17,49.92,-50,10.5,50,65,200,52.63
2009-06-24,27.97,-200,0,38.5,65,200,66.26
2009-07-01,35.67,-75,0,30,65,200,54.89
2009-07-08,21.65,-200,0,20,60,200,64.16
2009-07-15,22.61,-150,0,16,55,120,52.81
2009-07-22,37.38,-200,0,45,73,140,57.65
2009-07-29,37.41,-200,20,47.5,68.75,150,61.37
2009-08-05,69,0,40,67.5,98.5,200,44.58
2009-08-12,51.56,-50,19.25,50,72.5,200,54.17
2009-08-19,31.22,-200,0,40,70,200,76.39
2009-08-26,55.21,-200,35,50,80,200,71.14
2009-09-02,54.71,-200,25,50,95,200,81.41
2009-09-09,63.06,-200,40,70,100,200,63.36
2009-09-16,68,-200,50,75,97.5,200,63.59
2009-09-23,80.64,-50,50,77.5,100,200,53.32
2009-09-30,86.41,20,50,77.5,98.75,200,49.48
2009-10-07,67.86,-200,50,75,100,200,71.4
2009-10-14,74.38,-200,50,80,100,200,61.73
2009-10-21,77.83,-80,50,85,100,200,52.23
2009-10-28,74.68,-50,40,80,100,200,64.6
2009-11-04,64.94,-50,23.75,71.5,100,200,61.13
2009-11-11,69.21,-100,50,65,100,200,53.91
2009-11-18,65.56,0,22.25,77.5,96.25,150,44.76
2009-11-25,67.07,-100,35,68,100,200,56.69
2009-12-02,82.19,10,50,77.5,100,200,49.33
2009-12-09,68.74,-50,36,65,100,200,56.95
2009-12-16,75.57,-50,40,82,100,200,53.68
2009-12-23,61.08,-200,35,72.5,100,160,65.36
2009-12-30,74.56,-50,38.5,75,100,200,53.7
2010-01-06,70.65,-125,50,80,100,200,54.77
2010-01-13,72.97,-125,45,85,100,200,57.83
2010-01-20,63.83,-200,47.5,76.5,100,200,79.25
2010-01-27,61.91,-125,30,70,90,200,66.11
2010-02-03,33.18,-200,7.5,47,79,160,68.48
2010-02-10,21.76,-200,0,30,58.75,160,68.82
2010-02-17,36.51,-200,22.5,50,70,140,59.03
2010-02-24,44.55,-125,18,50,80,200,61
2010-03-03,54.89,-125,30,50,82.5,200,61.02
2010-03-10,51.19,-200,35,70,100,150,68.95
2010-03-17,77.3,-100,50,95,100,200,55.5
2010-03-24,76.45,-125,50,80,100,200,57.76
2010-03-31,83.26,0,50.5,95,100,200,46.37
2010-04-07,85.91,-50,51,95,107.5,200,50.04
2010-04-14,77.22,-100,52.25,90,100,150,45.15
2010-04-21,81.64,0,50,80,100,200,42.33
2010-04-28,83.91,0,51,80,100,200,46.03
2010-05-05,67.89,-125,40,71,100,200,73.78
2010-05-12,42.39,-200,20.75,52.5,85,160,67.42
2010-05-19,40.38,-125,6,35,72.5,200,65.24
2010-05-26,40.67,-50,15,27.5,53.75,200,45.44
2010-06-02,27.05,-200,13.75,27.5,50,110,55.84
2010-06-09,34.76,-125,8.5,30,61.25,200,50.57
2010-06-16,30.42,-200,13.25,37.5,65.25,130,60.17
2010-06-23,54.24,-125,25,50,85,200,59.38
2010-06-30,36.05,-125,10,40,50,200,51.88
2010-07-07,13.47,-200,0,25,50,100,60.79
2010-07-14,49.85,-125,21.5,50,80,200,52.38
2010-07-21,45.33,-125,17,40,65,200,55.5
2010-07-28,50.21,-125,22,40,96,200,63.65
2010-08-04,59.11,-125,28.75,60,100,200,58.52
2010-08-11,54.68,-125,30,60,90,200,70.17
2010-08-18,56.08,-125,42.75,50,78.75,155,53.95
2010-08-25,43.94,-60,20,50,66.25,200,55.91
2010-09-01,52.78,-125,20,50,80,200,62.56
2010-09-08,48.26,-200,24,50,78.75,180,72.42
2010-09-15,42.3,-200,22,50,85,155,73.39
2010-09-22,55.29,-150,36.25,55,87.25,200,74.43
2010-09-29,68.26,-125,42.5,66,95,200,65.97
2010-10-06,76.42,-125,50,77.5,100,200,59.69
2010-10-13,67.14,-125,50,80,100,170,55.01
2010-10-20,72.17,-125,50,80,100,175,54.04
2010-10-27,57.66,-200,50,75,96.25,175,74.05
2010-11-03,69.47,-125,42.5,77.5,100,200,57.6
2010-11-11,71.46,-200,65,97,100,200,73.63
2010-11-17,66.59,-125,50,80,100,200,64.71
2010-11-24,66.67,-200,50,85,100,200,68.73
2010-12-01,62.47,-200,50,81.5,100,200,71.4
2010-12-08,63.11,-125,50,82.5,100,145,56.85
2010-12-15,74.74,-125,72.5,90,100,150,48.88
2010-12-22,81.83,-40,70,92.5,100,130,30.94
2010-12-29,80.21,20,55,85,100,150,25.87
2011-01-05,78.51,-50,55,90,100,140,36
2011-01-12,76.88,0,50,85.5,100,150,34.52
2011-01-19,70.83,-100,50,85,100,150,48.2
2011-01-26,76.18,-50,56.25,95,100,150,44.56
2011-02-02,82.12,0,62.5,91.5,100,160,37.3
2011-02-09,86.28,0,70,96.5,100,165,36.24
2011-02-16,83.73,-50,70,97,100,160,39.53
2011-02-23,68.12,-100,48.75,79,100,160,53.94
2011-03-02,70.92,-100,50,75,100,160,43.94
2011-03-09,75.34,-10,58.5,77.5,95,165,34.89
2011-03-16,41,-200,21.25,50,80,160,64.32
2011-03-23,50.83,-100,18.75,50,83.75,160,54.67
2011-03-30,70.92,0,50,72,95,160,33.44
2011-04-06,80.79,0,59,80,100,200,39.17
2011-04-13,80.63,0,60,78,100,200,38.73
2011-04-20,82.95,0,62.25,82.5,100,200,41.72
2011-04-27,81.9,0,50,82.5,100,200,43.74
2011-05-04,76.13,-50,55,75,100,175,47.87
2011-05-11,74.66,-125,50,85,100,200,51.78
2011-05-18,68.41,-100,45,80,100,200,57.02
2011-05-25,58.93,-125,45,60,85,200,56.87
2011-06-01,52.86,-100,40,60,77.5,170,47.06
2011-06-08,42.79,-125,27.25,50,72.5,167,58.56
2011-06-15,25.95,-125,0,25,50,155,54.88
2011-06-22,29.27,-125,0,28.5,54.75,117,48.13
2011-06-29,31.98,-140,0,35,60,150,54
2011-07-06,50.39,-170,32,55,84,150,57.9
2011-07-13,53.93,-125,40,55,95,150,53.48
2011-07-20,66.31,-125,47.5,66,95.5,200,49.79
2011-07-27,62.7,-55,40,50,89.5,200,42.65
2011-08-03,32.87,-125,0,42,60,150,50.44
2011-08-10,21.4,-125,0,14.5,50,100,42.05
2011-08-17,28.78,-125,0,20,50,200,47.52
2011-08-24,20.17,-125,0,15,45,100,40.4
2011-08-31,22.19,-140,0,15,50,100,44.78
2011-09-07,25.31,-125,0,15,50,120,46.85
2011-09-14,26.78,-125,0,10,50,200,50.57
2011-09-21,27.9,-125,0,11,50,190,51
2011-09-28,4.17,-125,0,0,26.25,90,38.97
2011-10-05,-3.56,-200,0,0,16,130,54.52
2011-10-12,0,-200,-3.75,12.5,34.25,70,58.88
2011-10-19,21.32,-125,0,23.5,47.75,100,40.92
2011-10-26,38.12,-125,25,50,66.5,100,45.23
2011-11-02,45.42,-125,18.75,50,85,150,55.32
2011-11-09,44.05,-125,8,52,80,130,55.69
2011-11-16,54,-125,30,60,85,150,52
2011-11-23,34.77,-125,8.34,34.5,50,150,45.87
2011-11-30,30.02,-125,0,34,50,130,42.22
2011-12-07,34.8,-125,11.25,40,58.75,100,43.66
2011-12-14,35.69,-125,19.5,38.5,50,175,48.2
2011-12-21,36.62,-125,23.66,42.5,50,110,39.52
2011-12-28,43.56,-50,30,45,54,100,28.56
2012-01-04,43.14,-125,28.75,47.5,60.5,140,41.4
2012-01-11,49.34,-125,35,50,84,100,47.07
2012-01-18,52.5,-100,30.75,60,90.5,125,49.05
2012-01-25,56.33,-125,40,65,100,125,53.51
2012-02-01,67.52,-75,50,75,100,125,39.38
2012-02-08,72.66,-40,50,72,100,150,36.82
2012-02-15,73,-35,50,75,100,175,36.23
2012-02-22,76.28,-60,50,87.5,100,150,37.17
2012-02-29,73.78,-50,60,77,100,155,36.76
2012-03-07,57.37,-200,40,53.5,96,150,56.66
2012-03-14,71.79,-125,50,80,100,175,47.8
2012-03-21,68.64,-125,55,75,99,155,47.06
2012-03-28,71.97,-29,50,75,100,150,40.6
2012-04-04,69.82,-50,50,70,100,150,38.55
2012-04-11,51.93,-125,31.25,50,92.25,150,53.21
2012-04-18,46.14,-125,33.75,50,77.5,175,56.9
2012-04-25,48.31,-125,25,50,82.5,150,56.77
2012-05-02,63.68,-125,43.75,67.5,95,175,50.54
2012-05-09,64.21,-125,40,50,94.75,200,54.14
2012-05-16,58.71,0,36.5,50,87,200,41.36
2012-05-23,31.78,-125,13,40,50,135,45.5
2012-05-30,28.65,-125,0,36.5,57.1,110,46.73
2012-06-06,49.32,0,25,50,60,140,34.96
2012-06-13,43.63,-10,22.5,40,62.16,125,29.53
2012-06-20,52.33,-125,32.5,53,70,200,45.66
2012-06-27,44.84,-125,30,50,64.5,200,48.14
2012-07-05,63.28,-125,46,60,83.5,180,49.21
2012-07-11,61.85,-125,37.1,60,89.75,200,53.62
2012-07-18,67.74,-125,47.5,70,92.5,200,52.76
2012-07-25,74.39,0,33,65,100,200,50.01
2012-08-01,67.8,-125,40,70,95,200,53.94
2012-08-08,70.75,-30,45,80,97,163,39.42
2012-08-15,76.26,-75,53.75,85,100,175,42.6
2012-08-22,69.21,-125,40,80,100,200,59.57
2012-08-29,82.89,-10,60,80,100,200,40.67
2012-09-05,77.43,-125,55,80,100,200,50.15
2012-09-12,72.99,-125,60,76,100,170,50.12
2012-09-19,81.19,-125,70,95,102.5,175,52.94
2012-09-26,69.75,-125,48,80,100,175,56.02
