# AAII Investor Sentiment Survey: weekly bullish / neutral / bearish percentages by reported date (Thursday).
# Source: American Association of Individual Investors (aaii.com), sentiment.xls saved 2026-09-19. Personal use.
reported,bullish,neutral,bearish
1993-11-24,45.00,30.00,25.00
1993-12-02,33.00,32.00,35.00
1993-12-09,37.00,39.00,24.00
1993-12-16,33.00,38.00,29.00
1993-12-23,36.00,31.00,33.00
1993-12-30,44.00,28.00,28.00
1994-01-06,40.00,33.00,27.00
1994-01-13,38.00,31.00,31.00
1994-01-20,48.00,26.00,26.00
1994-01-27,41.00,25.00,34.00
1994-02-03,38.00,29.00,33.00
1994-02-10,49.00,27.00,24.00
1994-02-17,40.00,36.00,24.00
1994-02-24,41.00,30.00,29.00
1994-03-03,31.00,42.00,27.00
1994-03-10,29.00,34.00,37.00
1994-03-17,24.00,41.00,35.00
1994-03-24,29.00,37.00,34.00
1994-03-31,23.00,33.00,44.00
1994-04-07,28.00,31.00,41.00
1994-04-14,29.00,23.00,48.00
1994-04-21,26.00,41.00,33.00
1994-04-28,27.00,35.00,38.00
1994-05-05,32.00,32.00,36.00
1994-05-12,38.00,32.00,30.00
1994-05-19,22.00,36.00,42.00
1994-05-26,29.00,33.00,38.00
1994-06-02,39.00,36.00,25.00
1994-06-09,28.00,47.00,25.00
1994-06-16,32.00,42.00,26.00
1994-06-23,29.00,45.00,26.00
1994-06-30,32.00,37.00,31.00
1994-07-07,28.00,32.00,40.00
1994-07-14,25.00,40.00,35.00
1994-07-21,34.00,38.00,28.00
1994-07-28,27.00,42.00,31.00
1994-08-04,22.00,52.00,26.00
1994-08-11,34.00,37.00,29.00
1994-08-18,30.00,40.00,30.00
1994-08-25,32.00,39.00,29.00
1994-09-01,43.00,34.00,23.00
1994-09-08,47.00,33.00,20.00
1994-09-15,45.00,25.00,30.00
1994-09-22,37.00,36.00,27.00
1994-09-29,38.00,32.00,30.00
1994-10-06,33.00,39.00,28.00
1994-10-13,35.00,39.00,26.00
1994-10-20,39.00,33.00,28.00
1994-10-27,43.00,38.00,19.00
1994-11-03,40.00,35.00,25.00
1994-11-10,37.00,31.00,32.00
1994-11-17,39.00,22.00,39.00
1994-11-23,39.00,32.00,29.00
1994-11-30,44.00,30.00,26.00
1994-12-08,30.00,35.00,35.00
1994-12-15,33.00,35.00,32.00
1994-12-22,42.00,25.00,33.00
1994-12-29,40.00,43.00,17.00
1995-01-05,44.00,31.00,25.00
1995-01-12,36.00,42.00,22.00
1995-01-19,37.00,39.00,24.00
1995-01-26,38.00,37.00,25.00
1995-02-02,38.00,37.00,25.00
1995-02-09,34.00,43.00,23.00
1995-02-16,43.00,37.00,20.00
1995-02-23,46.00,37.00,17.00
1995-03-02,53.00,26.00,21.00
1995-03-09,48.00,34.00,18.00
1995-03-16,39.00,41.00,20.00
1995-03-23,47.00,30.00,23.00
1995-03-30,52.00,23.00,25.00
1995-04-06,42.00,25.00,33.00
1995-04-13,40.00,23.00,37.00
1995-04-20,37.00,27.00,36.00
1995-04-27,52.00,29.00,19.00
1995-05-04,42.00,27.00,31.00
1995-05-11,44.00,26.00,30.00
1995-05-18,42.00,23.00,35.00
1995-05-25,44.00,26.00,30.00
1995-06-01,39.00,34.00,27.00
1995-06-08,44.00,25.00,31.00
1995-06-15,36.00,31.00,33.00
1995-06-22,48.00,21.00,31.00
1995-06-29,35.00,28.00,37.00
1995-07-06,35.00,34.00,31.00
1995-07-13,44.00,18.00,38.00
1995-07-20,43.00,30.00,27.00
1995-07-27,41.00,26.00,33.00
1995-08-03,38.00,34.00,28.00
1995-08-10,40.00,30.00,30.00
1995-08-17,36.00,43.00,21.00
1995-08-24,35.00,28.00,37.00
1995-08-31,38.00,42.00,20.00
1995-09-07,37.00,36.00,27.00
1995-09-14,46.00,32.00,22.00
1995-09-21,46.00,25.00,29.00
1995-09-28,42.00,27.00,31.00
1995-10-05,39.00,37.00,24.00
1995-10-12,41.00,30.00,29.00
1995-10-19,47.00,32.00,21.00
1995-10-26,46.00,33.00,21.00
1995-11-02,47.00,34.00,19.00
1995-11-09,49.00,35.00,16.00
1995-11-16,46.00,31.00,23.00
1995-11-22,48.00,18.00,34.00
1995-11-30,51.00,30.00,19.00
1995-12-07,48.00,28.00,24.00
1995-12-14,51.00,23.00,26.00
1995-12-21,48.00,28.00,24.00
1995-12-28,46.00,34.00,20.00
1996-01-04,55.00,18.00,27.00
1996-01-18,42.00,29.00,29.00
1996-01-25,36.00,40.00,24.00
1996-02-01,54.00,31.00,15.00
1996-02-08,53.00,31.00,16.00
1996-02-15,54.00,21.00,25.00
1996-02-22,49.00,22.00,29.00
1996-02-29,45.00,28.00,27.00
1996-03-07,44.00,28.00,28.00
1996-03-14,36.00,35.00,29.00
1996-03-21,47.00,31.00,22.00
1996-03-28,45.00,31.00,24.00
1996-04-04,40.00,43.00,17.00
